Job Title,Job Description,Skills,Source
Need expert Virtual Assistant for account help management of Amazon/eBay. Professional only.,"We are looking for a highly experienced and detail-oriented Virtual Assistant to manage and optimize our Amazon and eBay seller accounts. This is not an entry-level role — we require someone with a proven track record of successful eCommerce account management.

Responsibilities include:

Daily monitoring and management of Amazon and eBay stores

Product listings: creation, optimization, and updates

Inventory management and stock level coordination

Order processing and customer service

Handling returns, disputes, and feedback

Keyword research and SEO optimization for product visibility

Competitor analysis and pricing strategy

Reporting on account performance and sales trends

Requirements:

Minimum 2 years of hands-on experience with Amazon Seller Central and eBay Seller Hub

Strong knowledge of marketplace policies and best practices

Proficiency in product listing tools and keyword research tools (e.g., Helium 10, Jungle Scout, Terapeak, etc.)

Excellent English communication skills

Ability to work independently with minimal supervision

High attention to detail and strong organizational skills

Preferred (but not required):

Experience with international marketplaces (UK, EU, etc.)

Knowledge of dropshipping, FBA, or FBM models

What We Offer:

Long-term opportunity for the right candidate

Competitive hourly rate or fixed price per task (negotiable based on experience)

Flexible working hours

Friendly and professional working environment","eBay, Amazon",jobs.json
Deutsche Darsteller:innen für Business-Testimonial-Videos (UGC-Style) gesucht,"Beschreibung:
Wir sind ein deutsches Start-up und suchen authentische Testimonial-Videos auf Deutsch. Ziel ist es, UGC-Style (Selfie-Video) Testimonials zu erstellen, in denen Sie anhand eines kurzen Skripts über unser Unternehmen und dessen Nutzen sprechen.

Was wir suchen:
Männer & Frauen im Alter von 30–45 Jahren
Muttersprachler:innen Deutsch (klare, professionelle Aussprache)
Seriöses, vertrauenswürdiges Auftreten – jemand, der wie Unternehmer:in oder Geschäftsinhaber:in wirkt
Wohlfühlatmosphäre beim Filmen von natürlichen Selfie-Videos (zu Hause oder im Büro)

Details:
Wir stellen ein komplettes Skript zur Verfügung (kurz und einfach einzusprechen)
Länge pro Video: ca. 30–60 Sekunden
Natürlich und glaubwürdig – nicht übertrieben gespielt oder „verkaufsorientiert“
Mehrere Personen werden gesucht (verschiedene Testimonials)
Anforderungen:
Bitte senden Sie uns ein kurzes Beispielvideo, in dem Sie sich auf Deutsch vorstellen (Handyaufnahme reicht aus)
Gute Videoqualität: ausreichendes Licht, klare Audioaufnahme, ruhige Kameraführung

Budget:
Nach Absprache – bitte geben Sie Ihren Preis pro Video an.
Bewerbung:
Wenn Sie Interesse haben, antworten Sie bitte mit:
Einer kurzen Vorstellung Ihrer Person
Einem kurzen Beispielvideo auf Deutsch
Ihrem Preis pro Testimonial-Video","Female, Male, Senior Adult, German, English, Middle-Aged Adult",jobs.json
Senior Dev - NFT Marketplace,"We’re looking for a talented full stack blockchain developer to help us build a next-generation NFT marketplace. 
You’ll be responsible for both the smart contract development and the entire web application, from backend to frontend. 

You should be comfortable creating secure, scalable smart contracts, building user-friendly interfaces, and handling everything needed to launch a fully functional NFT platform. 

If you’ve built NFT projects before and can take a marketplace from concept to deployment, we’d love to hear from you.","Blockchain Architecture, JavaScript",jobs.json
Prospect List/Sourcing Specialist for High-Volume Project - (Healthcare Focused),"We are looking for an experienced Prospect List & Sourcing Specialist to help us with a high-volume healthcare project. The ideal candidate will have proven expertise in prospect research, list building, and data verification specifically within the healthcare sector.

Responsibilities:

Research and identify healthcare prospects (decision-makers, organizations, providers, etc.)

Verify data for accuracy and reliability

Deliver clean, organized, and usable lists in Excel/Google Sheets

Meet high-volume requirements within given deadlines

Requirements:

Previous experience in prospect list building or lead sourcing (healthcare experience preferred)

Strong attention to detail and accuracy

Familiarity with tools such as LinkedIn, Apollo, ZoomInfo, Hunter.io, etc.

Ability to work with large datasets and deliver on time

Deliverables:

Verified prospect list with all required data fields

Organized spreadsheet ready for outreach campaigns","Prospect List, Lead Generation, Market Research, Data Entry, Microsoft Excel, Communications",jobs.json
Long-Term Web Designer (WordPress) with Strong UI/UX + SEO Skills,"We’re looking to build a long-term relationship with a talented and creative web designer who is highly skilled in WordPress. You should have a strong design portfolio, a deep understanding of UI/UX best practices, and a working knowledge of on-site SEO.

We are an established digital agency and work across a variety of industries. We’re seeking someone reliable, detail-oriented, and passionate about crafting beautiful, user-focused websites that convert.

What We’re Looking For:
	•	Expertise in WordPress & Shopify development/customization
	•	Strong UI/UX design skills (wireframing, layout, responsive design, etc.)
	•	Excellent grasp of modern design trends & tools (Figma, Adobe XD, etc.)
	•	On-site SEO understanding (page structure, headings, meta, image optimization)
	•	Ability to take a brief and translate it into a high-converting design
	•	Strong communication skills & attention to detail
	•	Available for ongoing projects (weekly/monthly collaboration)

Important to Have:
	•	Knowledge of basic HTML/CSS/JS
	•	Experience with site speed optimization
	•	Familiarity with CRO (conversion rate optimization) principles","Website Redesign, Custom Web Design, Theme Customization, Website Customization, Usability Testing, UX & UI, Shopify, Web Design, WordPress, Web Development",jobs.json
Content Creators: Funnel Hack Alex Hormozi's Book Launch,"Funnel Hacker Needed to Reverse Engineer Alex Hormozi’s Book Launch

Looking for a funnel hacker + strategist who can reverse engineer Alex Hormozi’s recent book launch and build a step-by-step launch system for my own upcoming book launch.

You’ll have full access to the webinar files from Hormozi’s $6k offer, giving you behind-the-scenes insights to guide your process.

This role is not about general marketing—it’s about breaking down Hormozi’s exact playbook (content, funnels, ads, organic distribution, conversions) and creating a customized version we can execute.

What You’ll Do:

Analyze and funnel hack Hormozi’s book launch from start to finish.

Build a detailed launch blueprint: funnel structure, content plan, distribution strategy.

Identify all critical assets (landing pages, emails, short-form video, ads, offers).

Advise on execution and optimization to maximize visibility + conversions.

What I’m Looking For:

1. Proven experience with funnel hacking / reverse engineering campaigns.

2. Strong grasp of direct-response marketing and offer design.

3. Ability to create a clear, actionable launch system from complex campaigns.

4. Familiarity with book launches or large-scale info product launches is a plus.

Why This Project is Different:

You’ll get exclusive access to Hormozi’s $6k webinar files as a reference point.

This is a fast-moving, high-impact project with the potential to replicate one of the most successful book launches in recent years.


To Apply Please send:

Examples of past funnel hacking or launch breakdowns you’ve done.

A quick outline of what you see as Hormozi’s top 2–3 funnel tactics that drove his book launch success.

Your approach to turning that into an actionable launch plan.","Facebook Advertising, Facebook Ads Manager, Instagram, Sales & Marketing, Social Media Marketing, Marketing Strategy, Facebook",jobs.json
"AI Developer that specialises in uses tools such as cursor, replit, loveable etc","Hey, I hope this finds you well.

I run a design studio and am looking to hire/partner with a AI developer that uses the latest vibe coding tools to rapidly deploy full stack MVP web and mobile apps.

Please send previous examples of your work.

Really looking forward to hearing from you.

Kind regards,

Danyl","Vibe Coding, Prompt Engineering, Web Development",jobs.json
HubSpot CMS Developer | Landing Pages & Performance,"¡Únete a nuestro equipo en Learning Heroes como HubSpot CMS Developer y sé una pieza clave en la creación y optimización de nuestras Landing Pages de Go To Market! En este rol, serás responsable de desarrollar y mantener landings altamente optimizadas en el CMS de HubSpot, colaborando estrechamente con los equipos de Marketing y Diseño para maximizar la conversión y la experiencia de usuario. Tu trabajo tendrá impacto directo en nuestros funnels de captación y crecimiento.

Misión del rol:
Diseñar y desarrollar Landing Pages de alto rendimiento en HubSpot CMS, asegurando la máxima calidad visual, técnica y de conversión, alineadas con las mejores prácticas de SEO, accesibilidad y performance.

Funciones principales del puesto:
- Diseñar y desarrollar Landing Pages y plantillas utilizando HubSpot CMS y su sistema de temas y módulos.
- Programar plantillas y componentes con HubL, HTML5 y CSS3.
Garantizar la optimización de rendimiento (carga rápida, optimización de imágenes, buenas prácticas de CSS y JS).
- Asegurar compatibilidad cross-browser y diseño responsive.
- Aplicar principios de accesibilidad en las páginas desarrolladas.

Colaboración
- Trabajar estrechamente con equipos de Marketing y Diseño para transformar diseños en landings
funcionales y efectivas.
- Participar en sesiones de revisión y feedback para asegurar consistencia visual y técnica.
- Proponer mejoras continuas en el ecosistema de Landing Pages.

Pruebas y garantía de calidad
- Validar el correcto funcionamiento de las páginas en diferentes dispositivos y navegadores.
- Identificar y solucionar errores de diseño o técnicos.
- Asegurar el cumplimiento de los estándares de SEO técnico.

Mantenimiento y optimización
- Mantener y actualizar plantillas existentes en HubSpot CMS.
- Optimizar continuamente las páginas existentes para mejorar su rendimiento.
- Documentar componentes y patrones para facilitar su reutilización.

Innovación y mejora continua
- Mantenerse actualizado sobre las capacidades y mejores prácticas del CMS de HubSpot.
- Proponer e implementar nuevas soluciones de diseño y estructura que maximicen la conversión.
- Colaborar en la evolución de la librería de componentes de HubSpot.","Landing Page, HubSpot, WordPress, Castilian Spanish, Web Design",jobs.json
SaaS Accountant Needed (with Bookkeeper on Staff) for Fast-Growing Company,"We’re BookReverb, a rapidly growing SaaS company in the publishing space. We’re looking for a highly skilled accountant who also has a bookkeeper on staff to help us set up, optimize, and manage our accounting systems.

We need someone who is not just accurate, but also strategic and creative — able to dive deep into the financial side of our business and provide guidance that supports growth, smart planning, and compliance.

What we’re looking for:

An experienced accountant who works with a bookkeeper (or has one on staff as part of your practice).

Guidance on setting up our accounting system in Xero (or your recommended platform).

Help designing and managing monthly profit-sharing payouts for partners.

Tax strategy & planning to minimize liability and maximize efficiency.

Ongoing bookkeeping support to keep everything organized and up to date.

Strong understanding of SaaS financials, cash flow management, and growth planning.

Someone proactive, detail-oriented, and able to communicate clearly with a fast-moving team.

About us:
BookReverb is a SaaS platform serving publishers and readers. We’ve experienced explosive growth and need smart, reliable financial leadership to keep pace with our expansion.

Deliverables / Responsibilities:

Initial setup & cleanup of our accounting system.

Monthly bookkeeping and reconciliations.

Monthly profit-sharing payout calculations.

Regular financial reporting (cash flow, P&L, etc.).

Strategic financial and tax guidance.

Requirements:

Proven experience working with SaaS or online businesses.

Access to an in-house bookkeeper (please confirm this in your proposal).

Experience with Xero (preferred) or similar platforms.

Availability to work with us on an ongoing basis (not just setup).

If you’re smart, reliable, and excited to dive into the financials of a fast-scaling SaaS, we’d love to hear from you. Please include examples of similar SaaS clients you’ve worked with and confirm that you have a bookkeeper on staff.",Accounting,jobs.json
URGENT English-Urdu Translator for 1582 word text,Looking for a very experience translator to translate a 1582 word text from English to Urdu urgently. Must be reliable and be able to translate nuance.,"Near-Native Fluency, English, Urdu, Translation, English to Urdu Translation",jobs.json
Recruiter for Sourcing,"Looking for a recruiter to -

1. Sourcing CVs from Portal ( Naukri login will be provided)
2. Contacting the candidates and checking their interest and communication skills
3. Updating spreadsheet on the basis of sourcing and contacting the candidates
4. Forward relevant profiles for further process

The recruiter must have - 

1. Good Spoken English 
2. Experience in recruitment and sourcing on Naukri
3. Four hours a day of time for the next 10 days","Sourcing, Candidate Sourcing, Resume Screening, Communications, Recruiting, Human Resource Management",jobs.json
Experienced Video Editor & Graphic Designer for Social Media Content,"We are seeking a talented and experienced video editor and graphic designer to create engaging social-first video content and static graphics. The ideal candidate should have a strong portfolio showcasing their skills in both video editing and graphic design, with a solid understanding of what performs well in digital and social environments. If you have experience in producing dynamic content that hooks and engages audiences, we'd love to hear from you!","Graphic Design, Adobe Photoshop, Video Editing, Adobe After Effects, Instagram",jobs.json
